day,no,word,meaning
DAY12,64,incredible,"놀라운, 믿기 어려운"
DAY12,65,modification,"변경, 수정"
DAY12,66,rank,"계급, 순위, 등급을 매기다"
DAY12,67,raw material,원자재
DAY12,68,shortage,부족
DAY12,69,underground,"지하의, 비밀의"
DAY12,70,assembly,"조립, 집회"
DAY12,71,fasten the strap,끈을 조이다
DAY12,72,give a hand,돕다
DAY12,73,go out of production,생산을 중단하다
DAY12,74,in a moment,"순식간에, 곧"
DAY12,75,maintenance cost,유지비
DAY12,76,makeup,"조립, 구성"
DAY12,77,much to one's surprise,매우 놀랍게도
DAY12,78,not only A but also B,A뿐만 아니라 B도
DAY12,79,pack away,"모아두다, 저장하다"
DAY12,80,remarkably,두드러지게
DAY12,81,scale model (= miniature),축소 모형
DAY12,82,squeaking sound,끽끽거리는 소리
DAY12,83,wearable,착용할 수 있는
DAY12,84,workbench,작업대
DAY12,85,adapted,"적당한, 알맞은, 개조된"
DAY12,86,automatically,자동적으로
DAY12,87,carelessly,부주의하게
DAY12,88,combustible,"타기 쉬운, 흥분하기 쉬운"
DAY12,89,fitted,"꼭 맞게 만들어진, 갖추어진"
DAY12,90,priced,값이 붙은
DAY12,91,reform,"개혁, 개혁하다"
DAY12,92,representation,"묘사, 표현"
DAY12,93,technically,"기술적으로, 엄밀히 말하면"
DAY12,94,technician,"기술자, 기사"
DAY12,95,utterly,"완전히, 철저히"
DAY12,96,adversely,불리하게
DAY12,97,agricultural,농업의
DAY12,98,artificial,인공적인
DAY12,99,be irrelevant to,~과 무관하다
DAY12,100,crude,"천연 그대로의, 미숙한"
DAY12,101,crude oil,원유
DAY12,102,custom-made,주문 제작한
DAY12,103,downsize,(인력·규모를) 줄이다
DAY12,104,gadget,간단한 도구
DAY12,105,gem,보석
DAY12,106,generator,발전기
DAY12,107,grease,윤활유
DAY12,108,identically,똑같이
DAY12,109,in the event of,~의 경우에는
DAY12,110,in the process of,~이 진행 중인
DAY12,111,individually tailored,개인 맞춤의
DAY12,112,integration,통합
DAY12,113,line worker,작업 라인 노동자
DAY12,114,made-to-order,맞춤 제작된
DAY12,115,make an arrangement,준비하다
DAY12,116,make an exception,예외로 하다
DAY12,117,make public,발표하다
DAY12,118,market awareness,시장 인지도
DAY12,119,neatly,"깔끔하게, 단정하게"
DAY12,120,on call,"언제든지 사용할 수 있는, 대기하고 있는"
DAY12,121,on the edge of,막~하려는 찰나에
DAY12,122,on the spot,"현장에, 즉시"
DAY12,123,outlast,~보다 오래가다
DAY12,124,output,생산량
DAY12,125,put in place,제자리에 두다
DAY12,126,query,질문
DAY12,127,ready-made,기성품의
DAY12,128,reassemble,"재조립하다, 다시 모이다"
DAY12,129,refine,"정제하다, 개선하다"
DAY12,130,reproduction,"모조품, 재생"
DAY12,131,sector,"부문, 구역"
DAY12,132,settle on,~을 결정하다
DAY12,133,sort out,~을 정리하다
DAY12,134,synthetic,합성의
DAY12,135,tailor-made,맞춤의
